"Time of Day","Process Name","PID","Operation","Path","Result","Detail","Parent PID"
"3:15:15.3604246 PM","System","4","Thread Create","","SUCCESS","Thread ID: 8312","0"
"3:15:15.3624576 PM","System","4","IRP_MJ_CREATE","C:\Windows\System32\LogFiles\WMI\RtBackup\EtwRTNT Kernel Logger.etl","SUCCESS","Desired Access: Generic Read, Write Data/Add File, Delete, Disposition: OverwriteIf, Options: Synchronous IO Non-Alert, Attributes: N, ShareMode: Read, Delete, AllocationSize: 0, OpenResult: Created","0"
"3:15:15.3633656 PM","SearchIndexer.exe","3104","IRP_MJ_FILE_SYSTEM_CONTROL","C:","SUCCESS","Control: FSCTL_READ_USN_JOURNAL","628"
"3:15:15.3634010 PM","SearchIndexer.exe","3104","IRP_MJ_FILE_SYSTEM_CONTROL","C:","SUCCESS","Control: FSCTL_READ_USN_JOURNAL","628"
"3:15:15.3930226 PM","PerfWatson2.exe","1692","Thread Exit","","SUCCESS","Thread ID: 9368, User Time: 0.0000000, Kernel Time: 0.0000000","8348"
"3:15:15.4699617 PM","Explorer.EXE","3676","FASTIO_NETWORK_QUERY_OPEN","C:\Users\gandos\AppData\Local\Temp\Procmon64.exe","FAST IO DISALLOWED","","3612"
"3:15:15.4701072 PM","Explorer.EXE","3676","IRP_MJ_CREATE","C:\Users\gandos\AppData\Local\Temp\Procmon64.exe","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened","3612"
"3:15:15.4701550 PM","Explorer.EXE","3676","FASTIO_QUERY_INFORMATION","C:\Users\gandos\AppData\Local\Temp\Procmon64.exe","SUCCESS","Type: QueryBasicInformationFile, CreationTime: 9/12/2019 3:07:04 PM, LastAccessTime: 9/12/2019 3:15:10 PM, LastWriteTime: 9/12/2019 3:07:04 PM, ChangeTime: 9/12/2019 3:07:04 PM, FileAttributes: HA","3612"
"3:15:15.4701964 PM","Explorer.EXE","3676","IRP_MJ_CLEANUP","C:\Users\gandos\AppData\Local\Temp\Procmon64.exe","SUCCESS","","3612"
"3:15:15.4702999 PM","Explorer.EXE","3676","IRP_MJ_CLOSE","C:\Users\gandos\AppData\Local\Temp\Procmon64.exe","SUCCESS","","3612"
"3:15:15.4844824 PM","PerfWatson2.exe","1692","TCP TCPCopy","DESKTOP-EL9348N.localdomain:50456 -> 40.77.226.250:https","SUCCESS","Length: 1460, seqnum: 0, connid: 0","8348"
"3:15:15.4845093 PM","PerfWatson2.exe","1692","TCP TCPCopy","DESKTOP-EL9348N.localdomain:50456 -> 40.77.226.250:https","SUCCESS","Length: 728, seqnum: 0, connid: 0","8348"
"3:15:15.4845164 PM","PerfWatson2.exe","1692","TCP Receive","DESKTOP-EL9348N.localdomain:50456 -> 40.77.226.250:https","SUCCESS","Length: 2188, seqnum: 0, connid: 0","8348"
"3:15:15.4867700 PM","PerfWatson2.exe","1692","TCP Send","DESKTOP-EL9348N.localdomain:50456 -> 40.77.226.250:https","SUCCESS","Length: 101, startime: 953035, endtime: 953035, seqnum: 0, connid: 0","8348"
